intent_category,user_prompt,context_state,bot_response,follow_up_prompt,action_flag
greeting,Hi there! How are you doing today?,initial_contact,"Hello! I'm doing well, thank you for asking. How can I assist you today?",Is there anything specific you need help with?,none
greeting,Good evening,initial_contact,"Good evening! How can I help you tonight?",What brings you by today?,none
emotional_support,I am feeling really overwhelmed and scared right now.,user_distressed,"I'm so sorry you're feeling this way, but I'm here with you. Take a slow, deep breath. You don't have to navigate this alone. Would you like to talk about what's going on, or would you prefer immediate support resources?",Would you like emergency contact numbers?,escalate_support
emotional_support,I don't know what to do next.,follow_up_distress,"It's completely okay to take things one step at a time. I'm here to support you. We can explore safety options, look up local station information, or just talk through how you're feeling. What feels most helpful right now?",Do you want to see safe local resources?,escalate_support
emergency,Someone is trying to break in / I need help immediately!,urgent_danger,"If you are in immediate physical danger, please contact emergency services right away: call 10111 or 112 in South Africa, or reach the GBV Command Centre at 0800 428 428 (*120*7867#). Please get to a safe place if you can.",Are you in a safe location right now?,trigger_emergency_alert
information_request,What is this system used for?,query_purpose,"This platform is designed to help analyze public GBV data, highlight high-risk police station areas, and offer immediate guidance and support resources. It isn't an emergency dispatcher, but it can connect you to help.",Would you like to look at the hotspot map or read report stats?,navigate_info
information_request,Can you tell me more about that?,follow_up_general,"Of course! Based on the latest data, we track case totals across key South African police stations to spot high-density report areas. Is there a specific province or station you'd like to check?",Which province or station are you interested in?,query_dataset
data_query,Which police station has the highest reported cases?,query_station_data,"According to the records, stations located in high-density urban sectors like Delft and Johannesburg Central consistently report high case numbers. Would you like a detailed breakdown by year?",Should I filter the map to high-risk stations?,update_map_filter
clarification,Wait, I didn't mean that.,misunderstanding,"My apologies for misunderstanding! Thanks for setting me straight. Could you clarify what you'd like to find out, and I'll get right on it?",What specific info were you looking for?,reset_intent_context
gratitude,Thank you so much for your help.,closing_phase,"You are very welcome! I'm always here if you need anything else. Please stay safe and take good care of yourself.",Is there anything else I can help you with today?,close_dialogue
closing,That's all for now. Goodbye!,closing_phase,"Goodbye! Take care, and feel free to reach out anytime you need assistance.",Have a safe day!,end_session
